"code_ogr","libelle","code_type_referentiel","code_ref_rubrique","code_tete_rgpmt","libelle_activite_impression","libelle_en_tete_regroupement"
"100414","Règles d''hygiène et d''asepsie","1","7","","",""
"100415","Intervenir auprès d''animaux équidés","2","9","","",""
"100416","Intervenir auprès d''animaux de compagnie","2","9","","",""
"100417","Intervenir auprès d''animaux de rapport (vaches, porcs, ...)","2","9","","",""
"100418","Intervenir auprès d''animaux en captivité","2","9","","",""
"100420","Règles de délivrance des médicaments vétérinaires","1","10","","",""
"100421","Identifier avec le client le type d''intervention (ferrage traditionnel, orthopédique, ...) et en définir les modalités (coût, date de rendez-vous, ...)","2","6","","",""
"100422","Repérer les affections du pied de l''animal (boiterie, douleur, abcès, ...) et procéder à son immobilisation pour l''intervention","2","6","","",""
"100424","Sélectionner le fer en fonction de la mobilité, de l''effort et de la morphologie de l''animal et le former d''après l''empreinte","2","6","","",""
"100426","Informer et conseiller sur le type de ferrure, les produits de soin, le besoin de consultation vétérinaire (prescription de médicaments, ...)","2","6","","",""
"100427","Utilisation de matériel de forge","1","7","","",""
"100428","Utilisation d''outils manuels (râpe, rogne, pied, brochoir, boutoir, triçoire, repoussoir, ...)","1","7","","",""
"100429","Anatomie animale","1","10","","",""
"100429","Anatomie animale","1","7","","",""
"100430","Techniques de parage de sabot","1","7","","",""
"100431","Techniques de ferrage (à froid, à chaud)","1","10","","",""
"100431","Techniques de ferrage (à froid, à chaud)","1","7","","",""
"100433","Réaliser et/ou poser une ferrure orthopédique","2","9","","",""
"100434","Réaliser et/ou poser une ferrure pathologique","2","9","","",""
"100435","Réaliser et/ou poser une ferrure thérapeutique","2","9","","",""
"100437","Procédés de formage","1","10","","",""
"100437","Procédés de formage","1","7","","",""
"100445","Identifier la demande (toilettage saisonnier, traitement anti-parasitaire, ...) du propriétaire de l''animal et planifier l''intervention","2","6","","",""
"100446","Vérifier l''aspect de l''animal et orienter si nécessaire le propriétaire vers un vétérinaire, un éducateur canin, ...","2","6","","",""
"100447","Sélectionner le matériel et les produits et préparer l''animal au toilettage par désinfection, douche, ...","2","6","","",""
"100448","Procéder aux soins de toilettage des animaux","2","6","","",""
"100448","Procéder aux soins de toilettage des animaux","2","9","","",""
"100449","Conseiller le client sur les articles destinés aux animaux et procéder à la vente","2","6","","",""
"100450","Renseigner le dossier de suivi de l''animal et proposer des soins ultérieurs","2","6","","",""
"100452","Utilisation de matériel de toilettage","1","10","","",""
"100452","Utilisation de matériel de toilettage","1","7","","",""
"100453","Procédés de stérilisation","1","10","","",""
"100453","Procédés de stérilisation","1","7","","",""
"100454","Procédures de prévention des risques sanitaires","1","7","","",""
"100455","Procédures d''accueil des animaux","1","7","","",""
"100456","Identifier la demande de l''interlocuteur (propriétaire de l''animal, éleveur, soigneur, ...) et déterminer les modalités d''intervention (soin sur place, transfert, ...)","2","6","","",""
"100457","Recueillir les informations sur l''animal (troubles, comportement, antécédents, traitements en cours, ...) auprès de son accompagnant ou dans le dossier médical","2","6","","",""
